('P0', 'id');('P1_a ', 'Idade');('P1_b ', 'Genero');('P1_e ', 'experiencia_profissional_prejudicada');EXPERIÊNCIA PREJUDICADA SIM OU NAO;('P2_d ', 'Gestor?');('P2_f ', 'Cargo Atual');AGRUPAMENTO CARGOS;('P2_h ', 'Faixa salarial');MÉDIA FAIXA SALARIAL;('P2_g ', 'Nivel');NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?');PRETENDE SAIR SIM OU NAO - TARGET;('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P2_s ', 'Qual a forma de trabalho ideal para você?');ESTOU NO TRABALHO IDEAL?
wz4e0ldn36t2bzxwz4e0vwoubhl6czu3;38;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido com dias fixos de trabalho presencial;1
wzptzeajjyyspgwzptzeclztikfkk26z;27;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;;;Não informado;;0;;0;;;1;;;1
wzymklvjmwekyrr046vhufx76wzymklv;35;Masculino;;0;0;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Produto;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
x0z71roqdqgd8g7ek13hkx0z7109ndxr;46;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x14tl88iqaxi36fmx14d8ttoc4ilsv6x;27;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
x196yli2qtdd27appix196tka6kaqnfl;34;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;1;;Não informado;Acima de R$ 40.001/mês;45000;;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
x1dofasd8x8c6vmwgdvipx1dofask0yd;29;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo 100% remoto;0
x1jt822famsosenv6trlhqx1jt825d4c;27;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;;;Não informado;;0;;2;;;1;;;1
x1tbazbk9tsnxra62q5xkx1tbaz0qsac;32;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
x1vgkcg661gl137l1ikfx1vg5l8wo3qp;34;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;;;Não informado;;0;;2;;;0;;;1
x1vrn1v5xz0r8ix1vrv0lef3oc9vjsdv;25;Masculino;;0;;;Não informado;;0;;0;;;1;;;1
x279giosctceomx279gwskh5woj3esgj;35;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
x2xv2tfnnv73u6sitix2xv2tqd13aj5s;28;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;;;Não informado;;0;;0;;;1;;;1
x3ypfvfos456yrjj4x3ypebld3obyyer;43;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x4da19q1qxo2z0ywkx4da19a42ixb5mr;27;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Machine Learning/ML Engineer/AI Engineer;ML/IA;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
x4l3t5vrvlqixjjo4x4l3tg4doi4igdc;34;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;1;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x59janvm46hyvda6imnvux59janvtaxb;39;Masculino;;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
x5bntbu0uh28ri5r657x5bntzyjwuino;32;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
x5u3k1q1o0k9chhbx5u3kz73nahqhts1;44;Masculino;;0;1;;Não informado;de R$ 30.001/mês a R$ 40.000/mês;35000;;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
x6dv7uf5e49rtuc3lkvpx6dv7u289z8y;36;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x6fhav1av2czrzdln8e3nx6fhav1anb7;34;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x6gqqopt336x6gqta8ygpid226i03qta;28;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
x6mn1nlqirxprx6mkkutq9xr5sk2aajy;26;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
x6o77d4wwfg2122m1x6o77d4vly8ghsg;30;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
x72f6edhzmpzgx7860zoutvkphky4kev;45;Masculino;Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD;1;;;Não informado;;0;;2;;;1;;;1
x7g9wxzokcmgcfr9bx7g9wxx32bldqqi;37;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Outra Opção;Outro;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x7sf9hrcman1gl6v79mex7sf9hpj4l0y;34;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x7vds5ipya9vxbmrm4x7vds5zcggzqyt;32;Masculino;;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x86fqaxmfezpwahx86qdoc1v0fpiwgky;21;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x8d12hhctinhvmyy76gx8d12halnvbx7;35;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x8dx12o3bnjd0x8dx12w9mdb55vdvzlu;40;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x8n0gytjwqndleitsuni79x8n0gojji1;28;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 25.001/mês a R$ 30.000/mês;27500;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x8nkzkozryka095tjajmf6v0x8nkzkoz;19;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;;;Não informado;;0;;0;;;1;;;1
x948p21jav2afcsgrknhx948p21cemkh;31;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Professor/Pesquisador;Acadêmico;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
x9k7p4cfrcbv7mudpx9k7ptjkjuqa8xy;32;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
x9kawj2vvr4clasvx9k1mpxsd40vp5i1;28;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
x9se9chpam3sgvspr15o6x9se9chukud;28;Masculino;;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xa0vvwaowgq8lxn9bxa0vvwby42wh16o;51;Prefiro não informar;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;;;Não informado;;0;;2;;;0;;;1
xa7epynsp94lfxa7e3bg7h2drkri7539;28;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
xadw3xdxz0tw2ry38xxadwe559b5qrl7;36;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Outra Opção;Outro;de R$ 8.001/mês a R$ 12.000/mês;10000;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
xae1ah3j1m68t1rrwxae1a1xtzrg3s5s;33;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
xb77io17va3f8wclwzgxiaxb77io17vp;32;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido com dias fixos de trabalho presencial;0
xbehidf02jdki6ep41m8jfn036kxbehi;36;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xbsbnmd6hy1jxsedw3mxbsbnmdf6j4tn;34;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Machine Learning/ML Engineer/AI Engineer;ML/IA;de R$ 30.001/mês a R$ 40.000/mês;35000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
xcetxe8ya93kf337xcetxed7qu2pk0rn;33;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
xci1mtzeyfc8y3ewnxci1mbmaqr492j8;28;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
xcn888ketx514e6qbt8xcn83qwfs2vaj;26;Masculino;;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
xcsgiu6l2a4gp5vjxcsgqaae8kehlezz;33;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
xcxwoplhang5w8ybz6t6xcxwoplhaexf;37;Masculino;;0;1;;Não informado;de R$ 12.001/mês a R$ 16.000/mês;14000;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xdbs0m9e8gwgkrw8q6wkxdbs0m07sw5g;48;Masculino;;0;0;Outra Opção;Outro;de R$ 12.001/mês a R$ 16.000/mês;14000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
xdf808wxuo62r778hxdf3y2iowkfrwwz;31;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xe8dx69witav8wcxe8d9tfj5o2o3jey0;29;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xecld4hgkd2bk7w28f90cxecld4hgkyw;35;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
xehjk4hvjzojyclm8xehjk4gqg7mjozr;42;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo 100% remoto;0
xekwwl5n1zdo8a1v5fxekptmqrdhsdcl;29;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xet17a30ghtp23xep18tr6uzgbf1b4te;22;Masculino;;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido com dias fixos de trabalho presencial;1
xf24yv7zehws3scfoinger8xf24yvd2q;23;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xf7992jvzb987vfohxf799epfzw08cao;35;Masculino;;0;0;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Desenvolvimento;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
xfiuxfl9w0yeiqdp6vxfiumzs9ea924n;19;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
xfu0i6l35p2c3lk87xfu0i6lgnu2y3p9;28;Masculino;;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xfwtat4esjwq0r2rkdxfwtats826aevd;31;Masculino;;0;1;;Não informado;de R$ 12.001/mês a R$ 16.000/mês;14000;;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
xg0p1ycph9t36ennp48xg0p1mhz8lqcx;33;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
xg81x9lfqh286af0zovfxg81trw70gjh;25;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xgbwdrkqb50tfjrqblrepcxgbwdrkc62;24;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
xgk8lldfwj4cbgcqiglxgk8lluyr5n8w;41;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Produto;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
xgoba80ejab7vtxnbxgoba86sxp9wsa4;33;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 20.001/mês a R$ 25.000/mês;22500;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
xgw5i3nascmbvxrxgw5aqy1uafjnjbxx;21;Masculino;;0;;;Não informado;;0;;1;;;1;;;1
xgwuy34dsd3wble5xgwujnbqhu03jlpw;29;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido com dias fixos de trabalho presencial;1
xgyl3telwproovy68fpn5fxgyl3te5sd;36;Masculino;;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xgzpwrqzf84wrzqw3wxgzpwrorebwumm;35;Masculino;;0;1;;Não informado;de R$ 4.001/mês a R$ 6.000/mês;5000;;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
xh3utmjnnwqjz834ttgpxh3utmz67olj;40;Masculino;;0;1;;Não informado;de R$ 20.001/mês a R$ 25.000/mês;22500;;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
xhiwxeqybu22pmeou01abxxhiwx3omc2;24;Masculino;;0;;;Não informado;;0;;0;;;0;;;1
xhm43ze5ugelllpb54s6xhm4310pq2q3;28;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
