"('P0', 'id')","('P1_b ', 'Genero')","('P2_f ', 'Cargo Atual')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')"
j2tfktcajludf7rj2tfkk4vuzrd8cbnp,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
j34gdx5521gse4fjdj34gdxc441vtnmb,Masculino,,de 4 a 6 anos,Pós-graduação,Outras Engenharias
j3vgh5lvnrb7qhii9j3vgh5l3lbtkejh,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
j4aitjrqmshlll1laj4uyncnbbzhrpuw,Masculino,,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
j4i41fsqofxrc7cob3worj4i41foqyb0,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Ciências Sociais
j51eubc5zg551662k2zhj51eubrpj94k,Masculino,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de 1 a 2 anos,Mestrado,Outras Engenharias
j54a8gt8q8ax98bxc258zxj54a8gvlmb,Feminino,Analista de Dados/Data Analyst,de 5 a 6 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
j5b44xtf6nj7d8j5b44xw4q54z2x056q,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
j5cjsz7mt8wvcsj5ccf9g2i4woer251n,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
j5kvh32j8w4zap588ij5kk2c6uuowypf,Masculino,Analista de Negócios/Business Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
j5nzl7ykjq5ptj5nhvgf8jtyxqwjv33r,Masculino,Analista de BI/BI Analyst,de 7 a 10 anos,Graduação/Bacharelado,Outras Engenharias
j5pv4o1m7g1dqmiobqm4j5pvkpdnql9b,Masculino,Analista de Suporte/Analista Técnico,Menos de 1 ano,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
j613nuzl0sqm8mrzg2z18uj613n2y9y7,Masculino,Analista de Negócios/Business Analyst,de 3 a 4 anos,Pós-graduação,Outras Engenharias
j6187vjobr9qg986fj618goui5twddpn,Feminino,,,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo
j6wu96laenfcetbdctj6wu9zggyvoo2a,Masculino,Analista de Dados/Data Analyst,de 4 a 6 anos,Pós-graduação,Outras Engenharias
j71qlm29lbwmwj71qume9nmjh7znyw1x,Masculino,Analista de Dados/Data Analyst,de 5 a 6 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
j75aorlnoip87c2tj7rco8lkhr6fcqs7,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
j7ammxztk2n8qlffj7amq4db6fxg5c9j,Masculino,Analista de BI/BI Analyst,Menos de 1 ano,Pós-graduação,Outras Engenharias
j7pcimgoa99c7e5qvwdj7pcit742j4du,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
j7ujcci8nfko5zgvej7ujczq24apt5ne,Masculino,Analista de Negócios/Business Analyst,de 1 a 2 anos,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
j8a9yromy081yfb4u2uj8a9ihejxrzd5,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
j8cidu4sdw3dtx8k72ttpj8cidu4ck1x,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
j8fq51qmy7w84ej8fb48iofcgo9gu1bq,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Prefiro não informar,
j8gwp859uljq0hubuqj8gwp8vc4pj9ye,Feminino,Outra Opção,de 3 a 4 anos,Pós-graduação,Outras Engenharias
j95043g82ieygzhgej95023bungtbvbh,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
ja0kt84jllpmn3sb1rmb8fja0kt84jlq,Masculino,,Mais de 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jakfzzb3fjgox6cqcwh5krjakfzzvmfo,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jb6kkt0f6vtpplplaynjb6kk5kkhmge8,Feminino,Outra Opção,de 3 a 4 anos,Pós-graduação,Outras Engenharias
jb8w9645q5bu75strjb8w96462vx1oc7,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
jbl57wlyfzw006aplpsjbl5jgnh2nv1x,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jbsc59kxcg2zpv0d3jbsc59bzjyjz0fv,Masculino,,Mais de 10 anos,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
jccugoor6eot22e7svjccugo57enwsbh,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jciipbjxab1uiotqj3jciq9b85ygdr6g,Masculino,,de 5 a 6 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
jd3zcp5tmurp65jd3zze1bicfjqdh3uv,Masculino,,de 7 a 10 anos,Estudante de Graduação,Marketing / Publicidade / Comunicação / Jornalismo
jdd8ybvf5fag4navml4jdd8ybvspkhdj,Masculino,Outra Opção,Mais de 10 anos,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
jdyeft8n5595ift7jdyefcccqg2ul62s,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jeoc0r2lvevjtg7jeo18ndpahsgq18v9,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
jepr38bgwapi9z0u5jepr38zakew0hae,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jerbjhn964381op7on3ujkjerbjh15pk,Masculino,,de 3 a 4 anos,Não tenho graduação formal,
jf5qkxbednnnm14585jf5qkxbot6qw6z,Masculino,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jfj8yxmtfytxro0jfj8yhrmmc0a7dift,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jfmqayaff1zxm2zqhejfmqayoumd2z7b,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jfnvcz5tnpp0ijfnr32r9dmg5123zqm4,Feminino,Outra Opção,Menos de 1 ano,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
jgce7zdn7fierlrilk0qhajgce7zdnlf,Masculino,,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jh4yowiotmn6jujh4yowi11a7dsrj4lf,Masculino,,de 4 a 6 anos,Mestrado,Marketing / Publicidade / Comunicação / Jornalismo
jh9z2deroc3w0ig7jh9stfezr9lq2q89,Feminino,Analista de BI/BI Analyst,de 3 a 4 anos,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
jhxqro4ekdqt1kavjhxqrp6rbrbrue4q,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Pós-graduação,Outras Engenharias
jhybxwoq1c8fhmjhybb0ht6br6gcwqu5,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
jhzfjjmymn2poc5zstcxrjhzfjztb1e0,Feminino,Analista de Inteligência de Mercado/Market Intelligence,Menos de 1 ano,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
ji2khm6okpqln1r2aji2khbu66yvzqgn,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jiaxaca1x3go4pmc1pozjiaxa7j7v8vp,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
jibrhcj85uy71e80rdjibrhc13f4gogp,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Pós-graduação,Ciências Sociais
jihk28abcy9vchg9jihk289wjga15drf,Feminino,Analista de BI/BI Analyst,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jihl1hp0w2w8tkkqgjihl1hpaonj15ju,Masculino,,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
jj2y7b9ks9b5tz9214qml7jj2y7b9j6y,Masculino,Outra Opção,Mais de 10 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
jjbsnft3u59c84jjbsnu56ebbc7ao6lx,Masculino,,,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
jjhyt8iy0s5h9wjjhbpbd83wiihum88l,Feminino,Outra Opção,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jjjq24m51b1wr1u2ejlxcjjjq249ixam,Masculino,Cientista de Dados/Data Scientist,de 7 a 10 anos,Doutorado ou Phd,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
jjn5uxmw8hdjrgtjjn50uwmmy8no7b9r,Masculino,,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
jk6d3jpxf063303jk6dicedkryaq5l1j,Masculino,Outra Opção,de 7 a 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jkl2ro149cd1msibljkl2rpfeueyrosw,Masculino,,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jkufdp86i24oooexfjkufdnkkr4m8vgi,Masculino,,de 3 a 4 anos,Graduação/Bacharelado,Outra opção
jkyo87ce5xzlaszfjkyo87o08a37tk7a,Masculino,Analista de Dados/Data Analyst,de 5 a 6 anos,Mestrado,Outras Engenharias
jlhapeucdvcd2ycc8ai8yjlhapeurdrw,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jlmy3qhn5p2bxgx0594jlmy3qhdci0nz,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
jlovriens0rki7rblj5jlovrnbxgf9if,Masculino,Analytics Engineer,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
jlqwbdswyfrowstrgrkjlqwbds5etu40,Feminino,,de 5 a 6 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
jm6syzqnxajm3pn0t6jm6syzq80gdt47,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jmdvpj29v3p7fpvjmdvtsep6z7alu0np,Masculino,Analista de Dados/Data Analyst,de 5 a 6 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jmy0zunhr5wwfr3jmy0t6e41xvmi5tln,Masculino,Cientista de Dados/Data Scientist,de 4 a 6 anos,Graduação/Bacharelado,Química / Física
jo807b52cehzi4jo80oygsu29m64a6v3,Masculino,,de 4 a 6 anos,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
jo95q4qeo5psdfdyncpfojo95q00pipx,Masculino,Outras Engenharias (não inclui dev),de 1 a 2 anos,Pós-graduação,Outras Engenharias
jogg6uf5q23r0u1knpj47jogg6ufw2le,Feminino,,de 5 a 6 anos,Graduação/Bacharelado,Outra opção
jolsej790aavpr3djumjolspwvapzhvr,Masculino,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
jp08kqulz0003j42f3a3jp08kqu4bz9a,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jp9w3gna74payprgycajp9w3of2gip2s,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jpdw5fy3647njpdw5fd1y03ayo4gfg98,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 4 a 6 anos,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
jpfuhcznqhxolksojpfutzklgqf1onhb,Masculino,,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jpgdomr9iebvj66o1o1m6zaxjpgdomri,Feminino,Analista de Dados/Data Analyst,de 4 a 6 anos,Pós-graduação,Outra opção
jpzu67nxn0q9k4mdca942ljpzu67n2mg,Feminino,,de 1 a 2 anos,Estudante de Graduação,Marketing / Publicidade / Comunicação / Jornalismo
jqj4bdu5sgjjw6svllslejqj4bduhabj,Masculino,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jr21u74eme1efnfg4jr21u7eizvvcdf4,Masculino,,Mais de 10 anos,Pós-graduação,Ciências Sociais
jr7towh0lfqh0eqrvjr7vlvhguaas3b8,Masculino,Analista de BI/BI Analyst,Menos de 1 ano,Graduação/Bacharelado,Outra opção
jr7z9at8v99hd99lusm8twjr7z9a0v6s,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jr87hbe1h8vj0hk2wvjr87herdz5x1pt,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jrslh8n7mcoyu3ydb1pijrsig8av320p,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 5 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jsgzoazz0gkej0paz4z7jsgzoacv950k,Masculino,,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
jswkymec98n3z2hr8r497mjswkygkz8d,Masculino,Outra Opção,Menos de 1 ano,Estudante de Graduação,Outra opção
jsxedj034l3nvqy16hvjsxedpvioisdn,Masculino,,Mais de 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jt0vlh69z8j702dssg0jt0vlmnfecf5h,Masculino,Cientista de Dados/Data Scientist,de 4 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jt8vkuh7ki7wg8qb5prwjt8vku0vmn5x,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 5 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jtdjuqql267h4vxlzzxjtdjuglo33ldm,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
jtif9lkxo1z79xwijbbv3g74dezo9qbb,Masculino,Analytics Engineer,de 3 a 4 anos,Pós-graduação,Outras Engenharias
jtotgbp6u9rs0eu6jtotbcfyd2mfcjut,Masculino,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de 3 a 4 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jtxz6u80fg4asw9zvmoxjtxz6u80nrne,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Pós-graduação,Outra opção
jukw0u6aye00wo0ihckmqbhjukw0uzas,Masculino,Analista de Dados/Data Analyst,de 4 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
junm2jw1sxpc0tbdezmjunm2jiykjaf4,Masculino,,de 7 a 10 anos,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
jur2syye9jki2sw96zomtjur2sxjlme5,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Pós-graduação,Outras Engenharias
jv4636jg9tqnar0ojv4636fs9wrvkfr8,Masculino,Analista de Negócios/Business Analyst,Mais de 10 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
jvg2gn1e1qqyklyikjvg2gnuxm6zhxs3,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Pós-graduação,Outras Engenharias
jviyppv2qcae8w9hvm1vjviya2e3lav1,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jvjpk4mhhifivvxuvjugiwjvjpk4mv1b,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jvmk22k0uhmncnqy3jvmk22c5xx09293,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
jvugph94ewawmlo0v6gfjvugtccqyc2l,Feminino,Outra Opção,Menos de 1 ano,Doutorado ou Phd,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
jvvibx6n1bzxl8qhjvvibxbprlsthgsh,Feminino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
jwe8l8a4vx8qgjwehfec8q831lhwpr1a,Masculino,Analytics Engineer,de 7 a 10 anos,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo
jwn098gq5t3ezc1tjwn05nh1kufhcwtl,Feminino,,,Doutorado ou Phd,Química / Física
jwu1nwkxzst1es8zzor1fjwu1nww9g4g,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jx42ccd8p1txronf9kxjx42cmjpec5mu,Masculino,,de 7 a 10 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
jx6tgqcq68qtduahajx6tgiydinuzasz,Feminino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
jx9aduekv1av9sy6jx9aduih0dsu4xbi,Feminino,Analista de Suporte/Analista Técnico,Não tenho experiência na área de dados,Pós-graduação,Ciências Sociais
jxig6sj4vectpozqykkhjxig6sj9lzym,Masculino,,Mais de 10 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
jxjkbc5w6nrg73jxjkqd6fds3y7bxh00,Feminino,Cientista de Dados/Data Scientist,de 5 a 6 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
jxu2jr8ucgnwpcl2stjxu2jra6pv02jo,Feminino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
jy0nn12e2tzcd7zo3xjy0nn123wbb9br,Feminino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jy1aomkvq8gwx228350tuzjy1aomk0ak,Masculino,,Mais de 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jyfyyv5k7vtf7i6jyfyyft0r9ho81htn,Masculino,Analista de BI/BI Analyst,de 3 a 4 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jyjzlhhrcvtoqv1nadnyipjyjzl0hoev,Masculino,Analytics Engineer,de 7 a 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jyl0zicx408sciaanl6jyl0za1rs72uc,Masculino,Analista de Suporte/Analista Técnico,Não tenho experiência na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
jyn96q4qwoy47mfufunjyn9rbqxd3iws,Feminino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Doutorado ou Phd,Outras Engenharias
jyojb9y83kxi6rjyojbthmzgc7260o1f,Masculino,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de 1 a 2 anos,Pós-graduação,Outras Engenharias
jz23f3k4ueb3l4p4jz26qz2n3o4in5v8,Masculino,Analista de BI/BI Analyst,de 3 a 4 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
jz7vsyepg0g25b1e4e0syuj7o1jz7vsy,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
jz8pl6qwym61ietsjz8pblxpcdezpevx,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Pós-graduação,Outra opção
jzsq005n1rwjg5vno4ngjzsq00nh1j4a,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Estudante de Graduação,Outras Engenharias
jzxxubeilvhy0nnwjzxxw5kmb8unn8vq,Masculino,,de 5 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
k0b2lr1r4rgmjkmkt8mqk0b2lriy1mo8,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
k0f5a58ji94i1nk0f5ao13xkfy7x34h8,Feminino,,Mais de 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
k0oaqdbh8d0bxkyurhqk0oaqdbue4vhv,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
k0yrmkyttn7zila7mpt9kk0yrmkl2fu9,Masculino,Analista de Dados/Data Analyst,de 4 a 6 anos,Graduação/Bacharelado,Outras Engenharias
k190fyyrju7g126syk190fvzro8xm5x4,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
k1o4snsu9iduiyl1k1o4ssztkt3u7em6,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Mestrado,Outras Engenharias
k1qr9twjvdx7800txsk1qrhzmq35a5n9,Feminino,Analista de Dados/Data Analyst,de 3 a 4 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
k1sp7rrb5zwb2td2xm0fk1sp3ann88d9,Masculino,Analytics Engineer,de 4 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
k239hkdxh63k4rk23d8qitj63pjn50jr,Masculino,,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
k23y5sxb14e44k4k23y5l9l2w98zzt61,Masculino,,,Graduação/Bacharelado,Outra opção
k24153ngtrp4tjq3tk245ie5vz9m7mrt,Masculino,Analista de BI/BI Analyst,de 4 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
k28oj419gjycmrfy1k28ojme0czrwoym,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
k2ebgqff512i3x843ohlk2ebgq7anjzh,Masculino,,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
k2g6c1x3sharreebtk2g691n2oqeu2k3,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
k2rrilo87wsgsfjk2rrce42tgmz20wih,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
k2tozxcrnkngex8pvk2tozxohcov9gcq,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
k3fjyhxpzjfndqfn6mns3k3fjyeolput,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
k3tlbv69x9tlu0rzibxdek3tlbv2kg2g,Feminino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Pós-graduação,Outras Engenharias
k4dyuy18tbrpqck4dy67cbhor8sgzp67,Masculino,Analista de BI/BI Analyst,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
k4hqgc8ohdudfvg5pk4hqg1bjmk3sf4q,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
k4p0mysj5848fplk4p7ncc18d1w13qcq,Masculino,,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
k4yr124ty7gmh3ck4yr18dmbflmba6ua,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
k506tg7hc08sf2ggk506hzu8jjnf2qe5,Masculino,,de 4 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
k52udhrbzuvf9e1sk52udof3bzx9ki29,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
k5etg1bn6v3w7p1oayk5etg18nfd5lpr,Feminino,,de 7 a 10 anos,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
k5g03drtvdxtin6feq72byk5g0343zi5,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
k61lu2vpnuypvrv8ntek61lu2my9qotm,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
k68j5lqv15pj8u2w2dbr2vk68j5erzcs,Masculino,Outra Opção,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
k6cit2pnqak771zvs8jgk6cit2i4gjnd,Feminino,,Mais de 10 anos,Mestrado,Outra opção
k6ull1lbp2eigdpg9bk6ull1m5shnljy,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Química / Física
