"('P0', 'id')","('P1_b ', 'Genero')","('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')","('P1_i ', 'Estado onde mora')","('P2_f ', 'Cargo Atual')"
1hk8n3npn6u33nvk971hk8n3c565bmwf,Masculino,1.0,Distrito Federal (DF),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1hpefgywviw2i1k51hpefgyp1naqo4yj,Masculino,,São Paulo (SP),
1hy19fbspo2n1hy1od9uxdgq4744p5b2,Masculino,,São Paulo (SP),
1in3i7hatwxjuecc1in3u1cqzryytfow,Masculino,,Minas Gerais (MG),Analista de Negócios/Business Analyst
1ixweauzga7lmtgvwrg2gr1ixwq7wrj7,Masculino,,Paraná (PR),Outra Opção
1j2b248m9vanhbnw1331j2b2jtavuq2v,Masculino,,Paraíba (PB),Analista de Dados/Data Analyst
1jamvzms8xcx8fm9n1jamvznsxd154w7,Masculino,,Santa Catarina (SC),
1jjv75o1mhc275hjj1jjv75tc4zv4aqn,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
1juqnnq8w5g1juq25h20elmadyv519wl,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
1jxrb8ef5dgwk671jxrb8ef4i0szuq6x,Feminino,0.0,Rio de Janeiro (RJ),Analista de Negócios/Business Analyst
1jy36lr1prftdq0l8ifh1jy36j18th0b,Feminino,0.0,São Paulo (SP),Analista de Dados/Data Analyst
1k16swpfwk5n98lsl1k16s83ns3t57cm,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
1k514djqv04g91bn6yb1k514dm45saug,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1kao3kwijojmie1kao3kyw938oh6794o,Masculino,,Paraíba (PB),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1kcmfwvhhzusgajn2zr1kcmfwv9cmtu2,Masculino,,Paraná (PR),Outra Opção
1khu5zghbxlzs41enjf1khu5zlt6q3z4,Feminino,0.0,,Analista de Inteligência de Mercado/Market Intelligence
1kjbcctset02lzji9b6v1kjbcq2c4rcf,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
1kuwp2b3gibtwbbg41a1kuoqpsvft9l9,Masculino,,Espírito Santo (ES),Cientista de Dados/Data Scientist
1kzvnze4z6503kbeq1kzo5p8zb20muq7,Masculino,,Rio de Janeiro (RJ),
1l546sl2qyr21wm8jjh2hd1l546smwar,Masculino,,São Paulo (SP),
1mjwa49a3mvroi8p1mjwgxumf37stfvg,Masculino,,Rio Grande do Sul (RS),
1mu7g1p2w1gbvjk1muha0e6nruburfor,Feminino,1.0,Santa Catarina (SC),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
1mz9sw1dltmei77j0i1mtkz0oghyuaa1,Feminino,0.0,São Paulo (SP),Cientista de Dados/Data Scientist
1n3ts0dsvfhbzzp1n3s7r3bya0sv050k,Masculino,,São Paulo (SP),
1nbi1gijbln24ntm1nbi19wkxnp2z7y8,Masculino,0.0,Rio Grande do Norte (RN),Analista de BI/BI Analyst
1ncfgwpi2xfllzxmye4u8ta71ncfgw18,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
1nmrjqcdg2rk07d4ucbaz1nmrjqcdxu1,Feminino,0.0,São Paulo (SP),
1o4zdyda1ud5g2xdkczn1o4zdydqxqo8,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
1o96jf7dan00vd69m1o9nychssyktrmj,Feminino,0.0,Paraná (PR),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
1oe4tm9lig95nxa1oecz9yzg37ygtm98,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
1ogf8n4avyhrbrhg8e1ogf8n4cbbbz0x,Masculino,,Minas Gerais (MG),
1opopzw3qk4cs221opopzykxayt5rybh,Masculino,0.0,São Paulo (SP),
1otlcdg1x913smcve7s41otlcdozbmfe,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
1ov8v6439it6tfn6c71ov8v64vfmt78h,Masculino,,Rio de Janeiro (RJ),Analista de BI/BI Analyst
1oxkwd8njvomlv7es1oxkwrkppfrbpw1,Masculino,,Minas Gerais (MG),
1p3bp5w871n1p342djoevd5p3pp8lqq5,Masculino,,Minas Gerais (MG),Analista de Negócios/Business Analyst
1p665pu04mcxhajkr1p66935r9bmijl5,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1pfaacuejf5x81pajv9shsciur46l5rv,Masculino,,São Paulo (SP),Estatístico
1pi0xbzfk7ftd19122yg1pi0xb9pq856,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1pp6xvbufvhsom5vzl31pp6xvq4p1jnu,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1pzbrkrlc1wyaipjm1pzbrkrt5qlxyhy,Masculino,,São Paulo (SP),Outra Opção
1q4kta9wksua5f9lp6ms1q4kta1dw4t8,Masculino,,Rio Grande do Sul (RS),Cientista de Dados/Data Scientist
1qfmx17eszstg2dn741qfmtkechwvnja,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
1rgah0yqmoh6y9km1rga5j5guxd7hzuf,Feminino,1.0,Sergipe (SE),Analista de Dados/Data Analyst
1rw5ornqpc716ikkr2br11rw5ornh43e,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
1s1lyz6kdu1ukc41s18fml0xicbrc9l0,Masculino,,São Paulo (SP),
1s4bfgk6oa1a24xwu0o63s9ab1s4bfgk,Masculino,,Rio Grande do Sul (RS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1scauwwcbcm7e2hybl1scauwwpdyl1q8,Feminino,1.0,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1sql14ykwoqnrqb1sqjxtaw96mma6ejx,Masculino,,Bahia (BA),Cientista de Dados/Data Scientist
1st95j5f3dayu2z7vcgq1s1st95joecs,Masculino,0.0,Rio de Janeiro (RJ),Analista de Negócios/Business Analyst
1sv9f4m6qjuiz1z4a6941sv9f62nckws,Masculino,,Ceará (CE),Cientista de Dados/Data Scientist
1synl4koqv7nw9jp9xj1e1synl4koz1e,Masculino,,São Paulo (SP),
1t29wucp9kxqccl1hho82ik9h8tjmhi9,Feminino,,Goiás (GO),Outra Opção
1tbjeqyxcb8in9aoofm1tbjeqe7qhjsl,Masculino,,São Paulo (SP),Outra Opção
1tdjws9xptef31tdm1d1kxhnf46wweze,Feminino,0.0,Pará (PA),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1th9uptbdd29e4gx4us31th9ulkpwl27,Masculino,,Santa Catarina (SC),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1ubccfh8fhx4uh4ymak6pc1ubccfg6sk,Masculino,,São Paulo (SP),
1vngka6qvjav2mv8dcd61vngkapi54nc,Masculino,,Minas Gerais (MG),
1vq1kdtdkc5hlku05awxf1vq1kd7ugp9,Masculino,,Bahia (BA),Outra Opção
1wg7v0o7vu0mm4mvg1wg4jxmohz7z6ej,Masculino,,São Paulo (SP),
1xc040p4ike2f176s1xc040ab1a3vu9r,Masculino,,São Paulo (SP),Professor/Pesquisador
1xgwka8p6zsss0krrsmpi4b1xgwka8m5,Masculino,,Distrito Federal (DF),Analytics Engineer
1xqvtlu78qox274r29vj1xqvtldoen39,Feminino,0.0,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1xte9idr5o14ouli1xte9iioqw664dxy,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
1y9f7ammii1165je1y92szmpujr1zia0,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
1ycfmqxl1azr4shspbvnu1ycfmqxlx8v,Masculino,,Pernambuco (PE),
1ygwdvahw3uhzit01ygwd0h3g7ky5d11,Masculino,,Goiás (GO),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1yhe4tn91cbr5gsn0xcav1yhe4oi9hua,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
1ykx15p0swb0zq4lfpydw1ykx192ats1,Masculino,,Espírito Santo (ES),
1ym42evpf3kt371ymvcalkvbcil4y5ku,Masculino,,Rio Grande do Sul (RS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
1yupbqb7lh2tkrosyj1yuq9z4q1c7s9k,Masculino,,São Paulo (SP),
1zhotax6o47clqyai5001zhotax6i51n,Masculino,,São Paulo (SP),Outra Opção
20a4osktc9echnd7ic1hq20a4osksp7s,Masculino,,Paraíba (PB),Analytics Engineer
20iwrnm2s5m352v7j220i6dsxma69riq,Feminino,1.0,São Paulo (SP),Analista de Dados/Data Analyst
20lckymovsednj4720lck7o1f9co1z5t,Masculino,,São Paulo (SP),DBA/Administrador de Banco de Dados
20ml24zr62pf4z38beg8txb20ml24zbk,Masculino,,Bahia (BA),Cientista de Dados/Data Scientist
20yjzawax8x88a2z20yj6jadndjwunn8,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
21fkwf8v1owhbxd21f96whwwigyulddq,Feminino,,São Paulo (SP),Analista de Dados/Data Analyst
21pjvyninw8oz0xr5ik21pjvc6wqlihp,Masculino,,Minas Gerais (MG),
22bragf5rnsy7g6kr22brak7fw9stjff,Masculino,,São Paulo (SP),
22ej021lhaeuead9x7ge22ej0owimr19,Feminino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
22ipipa83d7p815fwnophe22iptm4af6,Masculino,,Rio Grande do Sul (RS),
230l861fcwae3fqi230l86pfgay7z27b,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
23iu3s3y4l8xfvz423iu3oua9rubcpmt,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
23pwufmy5z435yt7i23pwugu68jcpjmi,Masculino,,Minas Gerais (MG),Analista de BI/BI Analyst
240kcckfjhgnbqu24044btdw9aitjqhz,Masculino,,Paraíba (PB),
243s6eg63uahz7cn9872t243s61xy4h8,Masculino,,São Paulo (SP),
24aggifjzl524a84cy744590nd8so5pp,Masculino,,Pernambuco (PE),
24kvki339tqa3124kvha8amv24vf3hjc,Masculino,1.0,São Paulo (SP),
24zrisoyw05okxrw24zri6uh44ccwd3w,Masculino,,São Paulo (SP),
25e9auitkh0au25ek8lbx70b7onm1k81,Feminino,0.0,Rio de Janeiro (RJ),
25fsyypuhl13wwj2pf25fsyhl34tpe9c,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
25qafi926wp2hhhf25qa43k1hz26n2qo,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
2694x7n4yporhxfkjkon2694x7zm1jpe,Masculino,,São Paulo (SP),Outra Opção
26ikpkofsjp1k2kh3t26ikpkossqh48u,Masculino,,Ceará (CE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
26yqcmafalq3h3x26yqcmdgrlv1iynok,Masculino,,Mato Grosso (MT),Analista de BI/BI Analyst
27f11r4nyjnsgjku62z3evs1ljy27f11,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
27qwtxeipoemb8e27qw5dmujsp3q7cyu,Masculino,,Mato Grosso (MT),
27utq0oy9aub82f8s27utqjg67jb25x8,Feminino,0.0,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
27vdcwn3jth77b3w27vdcf41z34nbsh9,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
27xq46s54lrteq2l59a27xq4uwe5fhft,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
284ghl0tye062v9e8284gh8dy39afxgt,Feminino,,São Paulo (SP),Analista de Dados/Data Analyst
28armsq6zbd2jk0aqncsk28armswl2xb,Masculino,0.0,Ceará (CE),
28tfaznzwxp85ldv55u728tfy837mt1r,Masculino,,Rio de Janeiro (RJ),Analista de Negócios/Business Analyst
28vyzbox3d2utoqbat28vyzbe5mgf8bn,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
291i037v0hpw0r515j0l291i037irrc8,Masculino,,Paraná (PR),Cientista de Dados/Data Scientist
297hei99fqkvivxrnurb297hei9zno18,Feminino,1.0,Ceará (CE),Analista de Dados/Data Analyst
2a92s2plzfxogwe2a93qmnjcohh9bmzg,Masculino,,Mato Grosso do Sul (MS),
2acmecc9nbfolzmao41ja2acmecc9wpb,Masculino,1.0,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2ahi5tw62dqxb6iixq4c2ahi5tp5ppt1,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2ai74ipsgl1gk1p9so2ai74i70uwvq3l,Masculino,,Goiás (GO),
2ajb8ujlurlun7u02ajb80znskg9kcqw,Feminino,,Rio Grande do Sul (RS),
2apq5ql5hyowe844ihx2apq5qqzdm8qf,Feminino,,Santa Catarina (SC),DBA/Administrador de Banco de Dados
2awyoj6smmd2af87xsimdhsi53dvbdf8,Feminino,0.0,São Paulo (SP),
2brqtffrngkxoi02brqtuhusj7upkhhr,Masculino,,Rio de Janeiro (RJ),
2bv2h8lgdnc4sw378l8re4m82bv2h8lg,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2bzdly3mzm4szklx2bzd3zjuffdql60s,Masculino,1.0,Sergipe (SE),Cientista de Dados/Data Scientist
2c7juxhup71zc0r2c7jul1mv8bhgdesm,Masculino,,,
2cgkmqaboicc7d2cgd16huf8fffsoy40,Masculino,1.0,Paraná (PR),Outra Opção
2cmdahu7hiwj9711j9k02cmdaq0sw85j,Masculino,,Piauí (PI),Analista de Suporte/Analista Técnico
2cqc9ah9j4guxb1kx2cqc9aaa15jx8q6,Masculino,,Santa Catarina (SC),Analista de Dados/Data Analyst
2d0h56ie7awmez2olgsb2d0h56ihb420,Masculino,0.0,São Paulo (SP),Cientista de Dados/Data Scientist
2dsmv08ccmecfeo7inhoh62dsmv08dr9,Masculino,,São Paulo (SP),
2e215h4a4helllcb8zg02e215hq9g1gd,Masculino,,São Paulo (SP),
2e4smyebort4brdom2e4s8tehd3bmnh2,Feminino,0.0,Amazonas (AM),Analista de BI/BI Analyst
2ep0j4rveitwcslt1h8i2r7g2ep0j417,Feminino,0.0,Rio de Janeiro (RJ),
2eqllk965weyncf7izj12eqllk9629wg,Masculino,,Paraná (PR),Analista de BI/BI Analyst
2etuy27198nnsh8lzq2etuhxf0pborpg,Masculino,,Minas Gerais (MG),
2faf7uswxnid3iqts2fafbhukaz2rvax,Masculino,,Distrito Federal (DF),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
2ff2fwwwqsu3b2ff2fgg3jecxej3pfr4,Masculino,,Paraná (PR),Analista de BI/BI Analyst
2fjugixvzpew8e6pe2fjugixjw1w5rtn,Masculino,,Bahia (BA),
2fjxj0lrrnkpjfgrv2fjxjp54ynrsvdf,Masculino,,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2fvzohdkn3cor8iwfm2fvzoh6cx45isu,Feminino,0.0,São Paulo (SP),Analista de Dados/Data Analyst
2g22nny5rnef2eteu12g22nny5nrgvsb,Masculino,,Rio Grande do Sul (RS),
2g7gls9hgtquq41ligv2g7ggxpz959mm,Feminino,,São Paulo (SP),Outra Opção
2g81uf23j3fiec0vlfi693xqa2g81uf2,Masculino,,Minas Gerais (MG),Cientista de Dados/Data Scientist
2ghabvys4jb1jrp76ry2ghabk0d2lzoj,Masculino,,Paraná (PR),Analista de BI/BI Analyst
2gljpnwf6qime1et0jsz2gljpn5nx3ug,Outro,,Minas Gerais (MG),Engenheiro de Machine Learning/ML Engineer/AI Engineer
2glvl90j5de1j22glvl9e16cuygm2jsb,Masculino,,Paraná (PR),
2h381e1dm1e9qra2ilb2h381e1i4p8um,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
2haev4mfhhuasy13sn2haevhovkbwdy2,Masculino,,São Paulo (SP),
2hoq7whv6022hoqynr3a532p250xynr3,Masculino,,São Paulo (SP),
2htb87fuoonvxw3dob72htbqy9qmllfd,Feminino,0.0,Ceará (CE),Analista de BI/BI Analyst
2hyq6ticv3pgnvp5rxh2hyqig5ogr2u0,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
2i7pqxuac2flp1dg41uhjzy2i7p3ni9f,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2iegv36ifyo92rsqtz72iegvj729y53y,Masculino,,Mato Grosso do Sul (MS),
2ihu5tttxdcvhk22jtr2ihu5tdpqpnpo,Masculino,,Rio Grande do Sul (RS),Analista de BI/BI Analyst
2ij1grxc1vnihj8lu2ij1gvix6lek8oz,Masculino,,Minas Gerais (MG),Engenheiro de Machine Learning/ML Engineer/AI Engineer
2ikksz591zb5n9gfkkp2ikkszs9x2wbf,Feminino,,Ceará (CE),
2iz3aqw6e54sabvi5k6blz2iz3aq2a74,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2jfm6m7t1w1uvmequiak7n2p2jfm6m7j,Masculino,,Santa Catarina (SC),Analista de Negócios/Business Analyst
2jfy3ggvyg7ccbm2jfy3ggreqqroiyro,Masculino,,São Paulo (SP),Professor/Pesquisador
2jnfh4pnmxrh08iu60y72jnfh4p6sasy,Masculino,,Rio de Janeiro (RJ),
2jr4cgmqyt1o84wtzbr2jr4c6la8b9gx,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
2k6iar41bia8m8x2k6nv7gxkh1vpvmdw,Masculino,,Rio Grande do Norte (RN),Analista de BI/BI Analyst
2khcpju1s081qezkip912khcpa7befep,Masculino,,São Paulo (SP),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
2kldq79vuec8wi2klry5lrd2fus3ibv8,Masculino,,Minas Gerais (MG),
2l51isz4i11ubmrelhwqw2l51ivr0iih,Feminino,0.0,Rio Grande do Sul (RS),
2l6v83yvhkg085elslon1002l6v83yvr,Masculino,,Ceará (CE),Outra Opção
2legj72v2vyh51r9f2legj72xkme7db7,Masculino,,São Paulo (SP),Analytics Engineer
2lvche33n1rwki2yks12lvche1ht7ivj,Feminino,,São Paulo (SP),
2ly00uv46sxok18981y442ly00tkubwk,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
2m8ct6h4tui95ovbm2m8ctr5affqp4t1,Masculino,,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2mw52jqqj9sy8htzpb2mw52jqw2sz9wm,Feminino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
2nelrp3ficnqqhvt5n70i2nelrp3fwgr,Masculino,,São Paulo (SP),
2nrei5zn7fxol2s02nrewljahc4t0zkq,Masculino,,Rio de Janeiro (RJ),Analista de Negócios/Business Analyst
2nsrystyqf2a7b7n8332nsrystocsgck,Masculino,,Pernambuco (PE),Analytics Engineer
2nurddbi82e88y8k2nuru6nxwai5bpmb,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
2o7ogbxud4lg1yd2o7dfebryn868e1qz,Masculino,,Minas Gerais (MG),
2ocuaehycysdjkkxk2ocuaehyk42tbcs,Masculino,,Distrito Federal (DF),
2oiskb76pk2jusjwthd2oisuhxrf1mzv,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
2oqfpegdaujd2fkk32oqfpeqpyjxlp05,Masculino,0.0,Santa Catarina (SC),Analytics Engineer
2p1chsfehb8oo8m2p1chsypsxlf079j3,Masculino,,Pernambuco (PE),Cientista de Dados/Data Scientist
2p3gdlc324f848dc2p3gdlcxm5qdis6a,Masculino,,Minas Gerais (MG),Analista de BI/BI Analyst
2plfqmul596j2plfe665gem61v9vofei,Masculino,,Amazonas (AM),Analista de Dados/Data Analyst
2pm8um79eusf9dp22pm80sfswptyqgu0,Masculino,1.0,São Paulo (SP),
2pmt14qedhztpc2pmt1tfm4af4h1r5f4,Masculino,,Minas Gerais (MG),
2pvrvwokh62pfmxuvh6ffkxluzwy0vak,Masculino,,São Paulo (SP),
2qbkq2dwmnco2xjpy3m2r9b2qbkq0okv,Feminino,0.0,Goiás (GO),
2qcoh26eevlf9k2qcoh26gl402yenp55,Masculino,,São Paulo (SP),
2qer1z1mdno8b4fvh3x2qerudjyszxts,Feminino,0.0,São Paulo (SP),Analista de Dados/Data Analyst
2ql3ngo4cckvlmdw5gj7bb2ql3n1am87,Masculino,,Minas Gerais (MG),Cientista de Dados/Data Scientist
2qmr35cqpg4nvi932qmr35cqlh50eux9,Masculino,,Rio de Janeiro (RJ),
2qpbfv7sn4zmx2at2qpbiethotsw1go4,Masculino,,Piauí (PI),Analista de Suporte/Analista Técnico
2qqgfzin5m4bpyyup2qqgfaf6xcez089,Masculino,,Ceará (CE),Analista de BI/BI Analyst
2qx76pzrf6m4twa2qf0qs5xky3x4es8o,Feminino,,São Paulo (SP),Analista de Negócios/Business Analyst
2rb9rcsdaxlr797kgw8x2rb9rcp3t66s,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2rfdn0p7i570l2rf6fruj14jksa7s8cy,Feminino,0.0,São Paulo (SP),
2rpbiw4ufg344sohfj9q2rpbiw2wnkcu,Masculino,,Rio Grande do Sul (RS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2rphbrg30zr8wy2qfel72rphbrvrdg87,Feminino,,Rio Grande do Sul (RS),
2rqq6h3j3gvri4d7042rqq6h88b596pr,Masculino,,,Cientista de Dados/Data Scientist
2rt4heuusczzay3ol12rt4heup05ittt,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
2s3kgkzg9i5ft2s3kdsyjbj5jb6xuk78,Masculino,,Paraná (PR),Cientista de Dados/Data Scientist
2s9073qb84vw51rzb2s9z4w5jqsn9vcl,Masculino,,Distrito Federal (DF),
2sgu2v3yv9ph2oji42sgtcp1pamqwvu0,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2tmmzjpya5y8k6pom2tmmdd2dkj464fc,Masculino,,Minas Gerais (MG),
2tovlrslzbrk53dlz8ca6c2tovlrvcik,Feminino,,São Paulo (SP),
2ufrsx2xgu0qtnomn02ufef6b6ln69c2,Masculino,,,
2uh1zib1p3k6g43gxkn72uh1zib1mmtb,Masculino,,São Paulo (SP),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
2uhi14h0h199v6g32uhpmm4smm2zsppz,Masculino,0.0,Goiás (GO),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2ukfimveags7f0wukmav2ukfinc6edx8,Masculino,,São Paulo (SP),
2uktcyqt5176cjif9o7d22uktcg8qdgu,Masculino,,São Paulo (SP),Analista de Suporte/Analista Técnico
2uv8ltkdd7fc9ofnqsx7cz2uv8ltwe07,Feminino,,São Paulo (SP),Professor/Pesquisador
2uxn1svv5ili7yix576vz4tbuixepiyi,Masculino,,Paraná (PR),Analytics Engineer
2v7q4tljga1183hhh2v7q4thxclll5uw,Masculino,,São Paulo (SP),
2vjsqirr9zmo3zvjc2vjsq8lgkcvs15g,Feminino,1.0,Mato Grosso (MT),
2vk7axw1koq01terfwginovs7e2vk7ax,Feminino,0.0,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2vu3ia9jkcrvfc6cy8rfzj2vu3imn0jz,Feminino,1.0,Rio de Janeiro (RJ),
2vz8gnl8562vzw2kp5mnd4ooy7c3cjw2,Masculino,,Minas Gerais (MG),Engenheiro de Machine Learning/ML Engineer/AI Engineer
2w4de1bns1aktc2w4d87j4yzmccg64cn,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
2w4hptyv33vq4ikq2w4hpvyfszeqdpbj,Feminino,0.0,São Paulo (SP),Analista de BI/BI Analyst
2w78jjyikar57x82t21l4v2w78jjce5b,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
2wyhilwy4huppj8x2sc7j2wyhilgpwkq,Masculino,,São Paulo (SP),Analytics Engineer
2wzd5tn5rdr9mv22wzd8db7fgfely4g2,Masculino,,São Paulo (SP),
2xc9vhnng3hpcjc7qt52xc9vhh0vvwlk,Masculino,,Paraná (PR),Cientista de Dados/Data Scientist
2xj9qrybjumxd2xjgv69mxid1kx76e1j,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
2y1dh8bl6hcl1nf7z2y1dh38u4n86x16,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2y7mhltbrvb9xq9mxbiw2y71jk9u4fh4,Feminino,,Minas Gerais (MG),Analista de Dados/Data Analyst
2yfshhlv4ax9swrzrh52yfshs5advvb0,Feminino,0.0,,Analista de Dados/Data Analyst
2yg2lvkv4szmeuvxmwe422yg2llyi5yc,Masculino,,São Paulo (SP),
2yhts1mwl8qemaswa82yhtsi8tuokn6g,Masculino,,Minas Gerais (MG),Analista de BI/BI Analyst
2ype6t65s9qbjj4xqs2ype3tp9cfmwwf,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
2yvv086ktgui204mrf4cf2yvv0813q86,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
2zem0hajs8qn65aaqcn2zem0hneq1tb1,Masculino,,Rio Grande do Sul (RS),
2zmrd7bdkxgeztbzuyyd2zmrdnu0b4bc,Feminino,0.0,Distrito Federal (DF),
309d7qo29cyvmwmo2309d7qrce7l3izd,Masculino,0.0,São Paulo (SP),
30kv0wcwroseb6hnl30kv92gbl00js7a,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
30ntfdbbdq9c1bp8cdok495330ntfd0o,Masculino,,Paraíba (PB),Cientista de Dados/Data Scientist
30w4lhwi2wxe02go5jsjpq30w4lhm12v,Masculino,,Minas Gerais (MG),
30xbfxn8sl37q2pa7kk30xbwis7q2y0s,Masculino,,São Paulo (SP),Engenheiro de Machine Learning/ML Engineer/AI Engineer
315q6i8t8k01i8gx25g9315q6ijfmqe2,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
31lvh6l4p731trg6h69ou82ra7niow8z,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
31tylbu5ocw2np2jp931tylbqapgfyaz,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
320pof08r8ywta320e04lcu03oo8rxe0,Feminino,,Rio de Janeiro (RJ),
3282qohv63qeam3n3282qd98famq7wbv,Feminino,0.0,São Paulo (SP),Analista de Suporte/Analista Técnico
32jficnhc29k852b132jficnrv557pjp,Masculino,,São Paulo (SP),
32mw8jn5pdgb9ba5x32mw76g5htp4kb8,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
32zdz8iwd5ihah8g432zdz83xgb637np,Feminino,0.0,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
331m2uvm2rpxpapokrn331m2uv5xf3m5,Masculino,,São Paulo (SP),
337bhyj32ogyxt1ysy337bhy70fjyo73,Feminino,0.0,Rio Grande do Sul (RS),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
33jb9wkykjb60fdlq33jb9wmb84rd1fw,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
33yadvltac5mgunhnedd33yadxwvxq6e,Masculino,,São Paulo (SP),Professor/Pesquisador
33yc3hyq7hl82c33yc35u8ane517x2vr,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
